0101050305,01010503,Kwisanga
0101050306,01010503,Mageragere
0101050307,01010503,Mataba
0101050308,01010503,Rushubi
0101050401,01010504,Akanakamageragere
0101050402,01010504,Gatovu
0101050403,01010504,Nyabitare
0101050404,01010504,Nyarubande
0101050405,01010504,Rubungo
0101050406,01010504,Rwindonyi
0101050501,01010505,Akabungo
0101050502,01010505,Akamashinge
0101050503,01010505,Maya
0101050504,01010505,Nyarufunzo
0101050505,01010505,Nyarurama
0101050506,01010505,Rubete
0101050601,01010506,Amahoro
0101050602,01010506,Ayabaramba
0101050603,01010506,Gikuyu
0101050604,01010506,Iterambere
0101050605,01010506,Nyabirondo
0101050606,01010506,Nyarurenzi
0101050701,01010507,Gisunzu
0101050702,01010507,Mpanga
0101050703,01010507,Nkomero
0101050704,01010507,Runzenze
0101050705,01010507,Uwurugenge
0101060101,01010601,Amahoro
0101060102,01010601,Amizero
0101060103,01010601,Inyarurembo
0101060104,01010601,Kabirizi
0101060105,01010601,Ubuzima
0101060106,01010601,Uruhimbi
0101060201,01010602,Icyeza
0101060202,01010602,Ikana
0101060203,01010602,Intwari
0101060204,01010602,Kabasengerezi
0101060301,01010603,Hirwa
0101060302,01010603,Ikaze
0101060303,01010603,Imanzi
0101060304,01010603,Ingenzi
0101060305,01010603,Ituze
0101060306,01010603,Sangwa
0101060307,01010603,Umwezi
0101060401,01010604,Abeza
0101060402,01010604,Icyerekezo
0101060403,01010604,Indatwa
0101060404,01010604,Rwezangoro
0101060405,01010604,Ubucuruzi
0101060406,01010604,Umutekano
0101060501,01010605,Imihigo
0101060502,01010605,Impala
0101060503,01010605,Rugenge
0101060504,01010605,Ubumanzi
0101060601,01010606,Indamutsa
0101060602,01010606,Ingoro
0101060603,01010606,Inkingi
0101060604,01010606,Intiganda
0101060605,01010606,Iwacu
0101060606,01010606,Tetero
0101060701,01010607,Bwahirimba
0101060702,01010607,Duterimbere
0101060703,01010607,Isangano
0101060704,01010607,Nyanza
0101060705,01010607,Urugwiro
0101060706,01010607,Urwego
0101070101,01010701,Kabusunzu
0101070102,01010701,Munanira
0101070103,01010701,Ntaraga
0101070104,01010701,Nyagasozi
0101070105,01010701,Rurembo
0101070201,01010702,Gasiza
0101070202,01010702,Kamwiza
0101070203,01010702,Kanyange
0101070204,01010702,Karudandi
0101070205,01010702,Kigabiro
0101070206,01010702,Kokobe
0101070207,01010702,Mucyuranyana
0101070208,01010702,Nkundumurimbo
0101070301,01010703,Akinkware
0101070302,01010703,Gapfupfu
0101070303,01010703,Gasiza
0101070304,01010703,Kariyeri
0101070305,01010703,Kokobe
0101070306,01010703,Munini
0101070307,01010703,Nyakabanda
0101070308,01010703,Rwagitanga
0101070401,01010704,Ibuhoro
0101070402,01010704,Kabeza
0101070403,01010704,Kanyiranganji
0101070404,01010704,Karujongi
0101070405,01010704,Kigarama
0101070406,01010704,Kirwa
0101080101,01010801,Amizero
0101080102,01010801,Gabiro
0101080103,01010801,Imanzi
0101080104,01010801,Ingenzi
0101080105,01010801,Intwari
0101080106,01010801,Karisimbi
0101080107,01010801,Mahoro
0101080108,01010801,Mpano
0101080109,01010801,Muhabura
0101080110,01010801,Muhoza
0101080111,01010801,Munini
0101080112,01010801,Rugero
0101080113,01010801,Shema
0101080201,01010802,Kagunga
0101080202,01010802,Karukoro
0101080203,01010802,Rwintare
0101080301,01010803,Akanyana
0101080302,01010803,Akanyirazaninka
0101080303,01010803,Akarekare
0101080304,01010803,Akatabaro
0101080305,01010803,Irembo
0101080306,01010803,Itaba
0101080307,01010803,Kiberinka
0101080308,01010803,Mumena
0101080309,01010803,Rwampara
0101080401,01010804,Gatare
0101080402,01010804,Kiberinka
0101080403,01010804,Munanira
0101080404,01010804,Riba
0101080405,01010804,Rubona
0101080406,01010804,Rugarama
0101080407,01010804,Runyinya
0101080408,01010804,Rusisiro
0101080409,01010804,Tetero
0101090101,01010901,Agatare
0101090102,01010901,Amajyambere
0101090103,01010901,Inyambo
0101090104,01010901,Meraneza
0101090105,01010901,Uburezi
0101090106,01010901,Umucyo
0101090107,01010901,Umurava
0101090201,01010902,Biryogo
0101090202,01010902,Gabiro
0101090203,01010902,Isoko
0101090204,01010902,Nyiranuma
0101090205,01010902,Umurimo
0101090301,01010903,Amizero
0101090302,01010903,Cercle Sportif
0101090303,01010903,Ganza
0101090304,01010903,Imena
0101090305,01010903,Indangamirwa
0101090306,01010903,Ingenzi
0101090307,01010903,Inyarurembo
0101090308,01010903,Ishema
0101090309,01010903,Isibo
0101090310,01010903,Muhabura
0101090311,01010903,Rugunga
0101090312,01010903,Sugira
0101090401,01010904,Amahoro
0101090402,01010904,Gacaca
0101090403,01010904,Intwari
0101090404,01010904,Rwampara
0101090405,01010904,Umucyo
0101090406,01010904,Umuganda
0101100101,01011001,Muhoza
0101100102,01011001,Muhuza
0101100103,01011001,Mumararungu
0101100104,01011001,Murambi
0101100201,01011002,Buhoro
0101100202,01011002,Gasabo
0101100203,01011002,Mutara
0101100204,01011002,Ubusabane
0101100301,01011003,Abatarushwa
0101100302,01011003,Indatwa
0101100303,01011003,Inkerakubanza
0101100304,01011003,Intwari
0101100401,01011004,Amahoro
0101100402,01011004,Umucyo
0101100403,01011004,Urumuri
0102010101,01020101,Akakaza
0102010102,01020101,Kigarama
0102010103,01020101,Kingabo
0102010104,01020101,Muhozi
0102010105,01020101,Rubungo
0102010106,01020101,Ryakigogo
0102010107,01020101,Zindiro
0102010201,01020102,Kagarama
0102010202,01020102,Kayumba
0102010203,01020102,Ramba
0102010204,01020102,Rebero
0102010205,01020102,Rugando
0102010301,01020103,Kigabiro
0102010302,01020103,Kiyoro
0102010303,01020103,Murarambo
0102010304,01020103,Nkona
0102010305,01020103,Nyakabingo
0102010306,01020103,Rukoma
0102010401,01020104,Birembo
0102010402,01020104,Gisasa
0102010403,01020104,Munini
0102010404,01020104,Ruhinga
0102010405,01020104,Uwaruraza
0102010501,01020105,Akabenejuru
0102010502,01020105,Akasedogo
0102010503,01020105,Akimpama
0102010504,01020105,Burima
0102010505,01020105,Kityazo
0102010601,01020106,Bushya
0102010602,01020106,Gikumba
0102010603,01020106,Kamutamu
0102010604,01020106,Karama
0102010605,01020106,Kayenzi
0102010606,01020106,Kigara
0102010607,01020106,Kiriza
0102010608,01020106,Masizi
0102010609,01020106,Mbogo
0102010610,01020106,Nyampamo
0102010701,01020107,Akanyiramugarura
0102010702,01020107,Akigabiro
0102010703,01020107,Gishaka
0102010704,01020107,Kabuye
0102010705,01020107,Mpabwa
0102010706,01020107,Nyagasambu
0102010707,01020107,Urutarishonga
0102020101,01020201,Akamamana
0102020102,01020201,Akimihigo
0102020103,01020201,Bigega
0102020104,01020201,Busasamana
0102020105,01020201,Kingasire
0102020106,01020201,Kumuyange
0102020107,01020201,Muremera
0102020108,01020201,Nyagasozi
0102020109,01020201,Rugoro
0102020110,01020201,Rwesero
0102020111,01020201,Tetero
0102020201,01020202,Agakomeye
0102020202,01020202,Gashubi
0102020203,01020202,Gisiza
0102020204,01020202,Hanika
0102020205,01020202,Juru
0102020206,01020202,Kibaya
0102020207,01020202,Mpakabavu
0102020208,01020202,Musango
0102020209,01020202,Ndengo
0102020210,01020202,Nyakabande
0102020211,01020202,Nyakanunga
0102020212,01020202,Rubonobono
0102020213,01020202,Runyonza
0102020214,01020202,Rusoro
0102020215,01020202,Ruvumero
0102020216,01020202,Uwagatovu
0102020301,01020203,Agataramo
0102020302,01020203,Akamwunguzi
0102020303,01020203,Akarubimbura
0102020304,01020203,Akisoko
0102020305,01020203,Amarembo
0102020306,01020203,Amizero
0102020307,01020203,Bwiza
0102020308,01020203,Ihuriro
0102020309,01020203,Isangano
0102020310,01020203,Kanyonyomba
0102020311,01020203,Nyakariba
0102020312,01020203,Rwakarihejuru
0102030101,01020301,Bwimiyange
0102030102,01020301,Bwingeyo
0102030103,01020301,Gasagara
0102030104,01020301,Rugwiza
0102030201,01020302,Ntaganzwa
0102030202,01020302,Nyagasozi
0102030203,01020302,Nyagisozi
0102030204,01020302,Ruganda
0102030301,01020303,Gahinga
0102030302,01020303,Gasharu
0102030303,01020303,Kibobo
0102030304,01020303,Nombe
0102030401,01020304,Munini
0102030402,01020304,Mutokerezwa
0102030403,01020304,Rudakabukirwa
0102030404,01020304,Runyinya
0102030501,01020305,Kimisebeya
0102030502,01020305,Kivugiza
0102030503,01020305,Rugarama
0102030504,01020305,Twina
0102040101,01020401,Amajyambere
0102040102,01020401,Amarembo
